Index,Title,Model,Price,Distance,Fuel Type,Engine,Transmission Type,City
46,Audi e-tron  2020 50 Quattro 230 kW for Sale,2020,PKR 1.95 crore,"40,832 km",Electric,60.0 kWh,Automatic,Lahore
47,Honda Vezel  2016 Hybrid X Honda Sensing for Sale,2016,PKR 58 lacs,"79,385 km",Hybrid,1500 cc,Automatic,Lahore
48,Suzuki Cultus  2009 VXLi for Sale,2009,PKR 11.6 lacs,"95,000 km",Petrol,1000 cc,Manual,Lahore
49,Honda City  2005  for Sale,2005,PKR 20 lacs,"150,000 km",Petrol,1300 cc,Automatic,Lahore
50,Suzuki FX  1986 GA for Sale,1986,PKR 2.5 lacs,"90,000 km",LPG,800 cc,Manual,Lahore
51,Hyundai Excel  1993 Basegrade for Sale,1993,PKR 3.5 lacs,"200,000 km",LPG,1500 cc,Manual,Lahore
52,Hyundai Tucson  2020 FWD A/T GLS Sport for Sale,2020,PKR 69.75 lacs,"134,500 km",Petrol,2000 cc,Automatic,Lahore
53,Toyota Corolla Cross  2024 1.8 HEV X for Sale,2024,PKR 96.5 lacs,200 km,Hybrid,1800 cc,Automatic,Lahore
54,Honda Civic Rebirth 2013 VTi Oriel 1.8 i-VTEC for Sale,2013,PKR 27.75 lacs,"114,000 km",Petrol,1800 cc,Manual,Lahore
55,Suzuki Cultus  2007 VXL for Sale,2007,PKR 9.5 lacs,"50,000 km",Petrol,1000 cc,Manual,Lahore
56,Audi A3  2015 1.2 TFSI Exclusive Line for Sale,2015,PKR 65 lacs,"160,000 km",Petrol,1200 cc,Automatic,Lahore
57,Honda City  2017 1.3 i-VTEC for Sale,2017,PKR 32.5 lacs,"174,000 km",Petrol,1300 cc,Manual,Lahore
58,Toyota Surf  1993 SSR-X 2.7 for Sale,1993,PKR 34 lacs,"220,000 km",Petrol,2700 cc,Automatic,Lahore
59,Nissan Dayz  2023  for Sale,2023,PKR 38 lacs,"13,000 km",Petrol,660 cc,Automatic,Lahore
60,Nissan Moco  2009  for Sale,2009,PKR 18.5 lacs,"120,000 km",Petrol,660 cc,Automatic,Lahore
61,Hyundai Tucson  2020 AWD A/T Ultimate for Sale,2020,PKR 70.35 lacs,"66,000 km",Petrol,2000 cc,Automatic,Lahore
62,Toyota Corolla  2016 Altis Grande CVT-i 1.8 for Sale,2016,PKR 42.5 lacs,"190,000 km",Petrol,1800 cc,Automatic,Lahore
63,Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,2021,PKR 63.7 lacs,"24,000 km",Petrol,1800 cc,Automatic,Lahore
64,Mercedes Benz C Class  2022  for Sale,2022,PKR 3.15 crore,"12,000 km",Hybrid,1500 cc,Automatic,Lahore
65,Honda City  2001  for Sale,2001,PKR 11.25 lacs,"214,490 km",Petrol,1300 cc,Automatic,Lahore
66,Honda N One  2012 Premium Tourer for Sale,2012,PKR 24 lacs,"140,000 km",Petrol,660 cc,Automatic,Lahore
67,Toyota Corolla  2019 GLi Automatic 1.3 VVTi for Sale,2019,PKR 46 lacs,"53,000 km",Petrol,1300 cc,Automatic,Lahore
68,Honda Life  2008 Comfort Special for Sale,2008,PKR 17.5 lacs,"120,000 km",Petrol,660 cc,Automatic,Lahore
69,Honda Civic  2005  for Sale,2005,PKR 15.75 lacs,"200,000 km",Petrol,1500 cc,Manual,Lahore
70,Audi A3  2017 1.2 TFSI Exclusive Line for Sale,2017,PKR 74 lacs,"72,500 km",Petrol,1200 cc,Automatic,Lahore
71,Toyota Corolla  2020 GLi Automatic 1.3 VVTi for Sale,2020,PKR 46.5 lacs,"67,000 km",Petrol,1300 cc,Automatic,Lahore
72,Honda Civic Rebirth 2015 VTi Prosmatec 1.8 i-VTEC for Sale,2015,PKR 35.5 lacs,"90,000 km",Petrol,1800 cc,Automatic,Lahore
73,Toyota Corolla  2019 GLi Automatic 1.3 VVTi for Sale,2019,PKR 44.95 lacs,"96,000 km",Petrol,1300 cc,Automatic,Lahore
74,Toyota Passo  2015 X L Package for Sale,2015,PKR 28.5 lacs,"115,000 km",Petrol,1000 cc,Automatic,Lahore
75,Audi A6 4th (C7) Generation 2018 1.8 TFSI Business Class Edition for Sale,2018,PKR 1.75 crore,"30,000 km",Petrol,1800 cc,Automatic,Lahore
76,Toyota Corolla  2022 Altis Grande X CVT-i 1.8 Black Interior for Sale,2022,PKR 67 lacs,"48,000 km",Petrol,1800 cc,Automatic,Lahore
77,Haval Jolion  2024 HEV for Sale,2024,PKR 96.25 lacs,20 km,Hybrid,1500 cc,Automatic,Lahore
78,Suzuki Swift  2014 DLX 1.3 for Sale,2014,PKR 19 lacs,"95,600 km",Petrol,1300 cc,Manual,Lahore
79,Mercedes Benz E Class  2003 E200 for Sale,2003,Call,"160,000 km",Petrol,1800 cc,Automatic,Lahore
80,Honda Civic  2016 Turbo 1.5 VTEC CVT for Sale,2016,PKR 49.5 lacs,"86,250 km",Petrol,1500 cc,Automatic,Lahore
81,Honda N One  2016 G L Package  for Sale,2016,PKR 24.75 lacs,"12,345 km",Petrol,660 cc,Automatic,Lahore
82,Changan Oshan X7  2022 FutureSense for Sale,2022,PKR 76.5 lacs,"38,000 km",Petrol,1500 cc,Automatic,Lahore
83,Hyundai Santro  2004 Club for Sale,2004,PKR 13.5 lacs,"135,000 km",Petrol,1000 cc,Manual,Lahore
84,Toyota Land Cruiser  1989  for Sale,1989,PKR 32 lacs,"475,000 km",Diesel,4000 cc,Manual,Lahore
85,Toyota Corolla  1997  for Sale,1997,PKR 22 lacs,"126,000 km",Petrol,1500 cc,Automatic,Lahore
86,KIA Sportage  2023 FWD for Sale,2023,PKR 75.95 lacs,"36,000 km",Petrol,2000 cc,Automatic,Lahore
87,Honda City 6th Generation 2024 1.5L ASPIRE CVT for Sale,2024,PKR 59 lacs,"7,500 km",Petrol,1500 cc,Automatic,Lahore
88,Suzuki Wagon R  2015 VXL for Sale,2015,PKR 19 lacs,"115,000 km",Petrol,1000 cc,Manual,Lahore
89,Toyota Yaris Hatchback  2021  for Sale,2021,PKR 47.9 lacs,"43,950 km",Petrol,1000 cc,Automatic,Lahore
90,Suzuki Mehran  2014 VXR Euro II for Sale,2014,PKR 10.5 lacs,"95,400 km",Petrol,796 cc,Manual,Lahore
91,Nissan Note  2019 MEDALIST for Sale,2019,PKR 54.7 lacs,"53,000 km",Hybrid,1200 cc,Automatic,Lahore
92,Suzuki Mehran  2018  for Sale,2018,PKR 14.25 lacs,"55,000 km",Petrol,800 cc,Manual,Lahore
93,Suzuki Swift  2023 GLX CVT for Sale,2023,PKR 43.9 lacs,"24,500 km",Petrol,1200 cc,Automatic,Lahore
94,Toyota C-HR  2020 G-LED for Sale,2020,PKR 1.05 crore,"28,000 km",Hybrid,1800 cc,Automatic,Lahore
95,Toyota Corolla  2023 Altis 1.6 X CVT-i for Sale,2023,PKR 66.5 lacs,"6,000 km",Petrol,1600 cc,Automatic,Lahore
96,Toyota Vitz  2018 F 1.0 for Sale,2018,PKR 39.75 lacs,"111,000 km",Petrol,996 cc,Automatic,Lahore
97,Suzuki Alto  2007 VXR for Sale,2007,PKR 8.3 lacs,"80,000 km",Petrol,1000 cc,Manual,Lahore
98,Suzuki Mehran  2019 VXR Euro II for Sale,2019,PKR 11.5 lacs,18 km,Petrol,796 cc,Manual,Lahore
99,Honda City 5th (GM2) Generation 2015 1.3 i-VTEC for Sale,2015,PKR 27.25 lacs,"162,000 km",Petrol,1300 cc,Manual,Lahore
100,Honda Freed  2018  for Sale,2018,PKR 55.5 lacs,"36,000 km",Petrol,1500 cc,Automatic,Lahore
101,Mitsubishi EK X  2021 Sports for Sale,2021,PKR 31.5 lacs,"29,000 km",Petrol,659 cc,Automatic,Lahore
102,Honda Civic  2011 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,2011,PKR 25.75 lacs,"127,000 km",Petrol,1800 cc,Automatic,Lahore
103,Suzuki Cultus  2014 EURO II for Sale,2014,PKR 15.5 lacs,"80,000 km",Petrol,1000 cc,Manual,Lahore
104,Suzuki Alto  2023 VX for Sale,2023,PKR 24.9 lacs,"4,100 km",Petrol,660 cc,Manual,Lahore
105,Suzuki Alto  2009 VXR for Sale,2009,PKR 12 lacs,"50,000 km",Petrol,1000 cc,Manual,Lahore
106,Nissan Sunny  1990  for Sale,1990,PKR 6.5 lacs,"100,000 km",Petrol,1600 cc,Manual,Lahore
107,Suzuki Mehran  2015 VXR Euro II for Sale,2015,PKR 9.9 lacs,"67,000 km",Petrol,800 cc,Manual,Lahore
108,Suzuki Cultus  2013 EURO II for Sale,2013,PKR 13.15 lacs,"130,000 km",Petrol,1000 cc,Manual,Lahore
109,Suzuki Alto  2022 VXR for Sale,2022,PKR 23.8 lacs,"40,000 km",Petrol,660 cc,Manual,Lahore
110,Toyota Aqua  2018  for Sale,2018,PKR 55 lacs,"25,500 km",Hybrid,1500 cc,Automatic,Lahore
111,Suzuki Mehran  2014 VX Euro II for Sale,2014,PKR 9.75 lacs,"125,000 km",Petrol,796 cc,Manual,Lahore
112,Toyota Corolla  2019 Altis Automatic 1.6 for Sale,2019,PKR 46.5 lacs,"80,000 km",Petrol,1600 cc,Automatic,Lahore
113,Jeep Cherokee  1996  for Sale,1996,PKR 20.5 lacs,"180,000 km",Petrol,4000 cc,Automatic,Lahore
114,Honda Civic  2019 1.8 i-VTEC CVT for Sale,2019,PKR 51 lacs,"73,000 km",Petrol,1800 cc,Automatic,Lahore
115,Toyota Corolla  2023 Altis 1.6 X CVT-i Special Edition for Sale,2023,PKR 66.25 lacs,"35,437 km",Petrol,1600 cc,Automatic,Lahore
116,Honda Civic  2009 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,2009,PKR 22.5 lacs,"145,250 km",Petrol,1800 cc,Automatic,Lahore
