Index,Title,Model,Price,Distance,Fuel Type,Engine,Transmission Type,City
4517,Suzuki Alto  2021 works edition for Sale,2021,PKR 42.5 lacs,"12,000 km",Petrol,660 cc,Manual,Lahore
4518,Toyota Aqua  2021 S for Sale,2021,PKR 61.5 lacs,"47,000 km",Hybrid,1500 cc,Automatic,Lahore
4519,Toyota Corolla  2023 Altis Grande X CVT-i 1.8 Black Interior for Sale,2023,PKR 72.5 lacs,"22,000 km",Petrol,1800 cc,Automatic,Lahore
4520,Haval Jolion  2024 HEV for Sale,2024,PKR 97.85 lacs,1 km,Hybrid,1500 cc,Automatic,Lahore
4521,Haval H6  2024 1.5T for Sale,2024,PKR 98.13 lacs,10 km,Petrol,1500 cc,Automatic,Lahore
4522,Haval H6  2024 1.5T for Sale,2024,PKR 94.12 lacs,8 km,Petrol,1500 cc,Automatic,Lahore
4523,Haval H6  2024 HEV for Sale,2024,PKR 1.24 crore,5 km,Hybrid,1500 cc,Automatic,Lahore
4524,Haval H6  2024 HEV for Sale,2024,PKR 1.24 crore,9 km,Hybrid,1500 cc,Automatic,Lahore
4525,Haval Jolion  2024 1.5T for Sale,2024,PKR 82.28 lacs,8 km,Petrol,1500 cc,Automatic,Lahore
4526,Toyota Corolla 9th (E120) Generation 2007 XLi for Sale,2007,PKR 28 lacs,"60,000 km",Petrol,1300 cc,Manual,Lahore
4527,Suzuki Bolan  2022 VX Euro II for Sale,2022,PKR 17.5 lacs,"34,000 km",Petrol,800 cc,Manual,Lahore
4528,Honda Civic  2019 Oriel 1.8 i-VTEC CVT for Sale,2019,PKR 62 lacs,"72,000 km",Petrol,1800 cc,Automatic,Lahore
4529,Suzuki Cultus  2007 VXL for Sale,2007,PKR 8.5 lacs,"75,000 km",Petrol,1000 cc,Manual,Lahore
4530,Honda Insight  2011 L for Sale,2011,PKR 29.5 lacs,"145,000 km",Petrol,1300 cc,Automatic,Lahore
4531,Honda Civic  2022 Oriel 1.8 i-VTEC CVT for Sale,2022,PKR 66 lacs,"51,000 km",Petrol,1800 cc,Automatic,Lahore
4532,Honda Civic  2004 EXi for Sale,2004,PKR 14.5 lacs,"100,000 km",Petrol,1500 cc,Manual,Lahore
4533,Toyota Yaris Hatchback  2021  for Sale,2021,PKR 46.95 lacs,"12,000 km",Petrol,1000 cc,Automatic,Lahore
4534,Toyota Passo  2007  for Sale,2007,PKR 19.5 lacs,"115,000 km",Petrol,1000 cc,Automatic,Lahore
4535,KIA Sportage  2021 FWD for Sale,2021,PKR 67.5 lacs,"78,000 km",Petrol,2000 cc,Automatic,Lahore
4536,Changan Oshan X7  2023 FutureSense for Sale,2023,PKR 84 lacs,"9,000 km",Petrol,1500 cc,Automatic,Lahore
4537,Honda Vezel  2018 Hybrid Z for Sale,2018,PKR 77 lacs,"48,000 km",Hybrid,1500 cc,Automatic,Lahore
4538,Honda Freed  2016 Hybrid G Honda Sensing for Sale,2016,PKR 47 lacs,"71,640 km",Petrol,1500 cc,Automatic,Lahore
4539,Daihatsu Move  2021 X Turbo for Sale,2021,PKR 35 lacs,"32,000 km",Petrol,660 cc,Automatic,Lahore
4540,Honda City  2017 Aspire 1.5 i-VTEC for Sale,2017,PKR 32.5 lacs,"81,000 km",Petrol,1500 cc,Manual,Lahore
4541,Honda City  2019 1.3 i-VTEC Prosmatec for Sale,2019,PKR 34.75 lacs,"70,000 km",Petrol,1300 cc,Automatic,Lahore
4542,Suzuki Cultus  2019 VXL for Sale,2019,PKR 27.9 lacs,"93,000 km",Petrol,1000 cc,Manual,Lahore
4543,Honda Civic  2020 Oriel 1.8 i-VTEC CVT for Sale,2020,PKR 60 lacs,"28,000 km",Petrol,1800 cc,Automatic,Lahore
4544,Toyota Corolla  2009 Altis Cruisetronic 1.8 for Sale,2009,PKR 27.25 lacs,"165,000 km",Petrol,1800 cc,Automatic,Lahore
4545,Toyota Aqua  2021 Z for Sale,2021,PKR 72 lacs,"62,000 km",Hybrid,1500 cc,Automatic,Lahore
4546,BMW 7 Series  2022 i7 xDrive60 Excellence for Sale,2022,PKR 6.5 crore,"1,600 km",Electric,101.7 kWh,Automatic,Lahore
4547,Toyota Land Cruiser  1986  for Sale,1986,PKR 30 lacs,"50,000 km",Diesel,3400 cc,Manual,Lahore
4548,KIA Sorento  2021 3.5 FWD for Sale,2021,PKR 87 lacs,"36,000 km",Petrol,3500 cc,Automatic,Lahore
4549,Suzuki Wagon R  2021 VXL for Sale,2021,PKR 28.3 lacs,"30,000 km",Petrol,1000 cc,Manual,Lahore
4550,Honda Vezel  2015 Hybrid Z for Sale,2015,PKR 50 lacs,"102,583 km",Hybrid,1500 cc,Automatic,Lahore
4551,Haval Jolion  2024 1.5T for Sale,2024,PKR 82.99 lacs,10 km,Petrol,1500 cc,Automatic,Lahore
4552,Haval H6  2024 2.0T AWD for Sale,2024,PKR 1.13 crore,3 km,Petrol,2000 cc,Automatic,Lahore
4553,Haval H6  2024 2.0T AWD for Sale,2024,PKR 1.11 crore,11 km,Petrol,2000 cc,Automatic,Lahore
4554,Haval Jolion  2024 HEV for Sale,2024,PKR 96.14 lacs,6 km,Hybrid,1500 cc,Automatic,Lahore
4555,Toyota Corolla Cross  2024 1.8 HEV X for Sale,2024,PKR 96 lacs,10 km,Hybrid,1800 cc,Automatic,Lahore
4556,Mitsubishi EK X  2022 Sports for Sale,2022,PKR 39.95 lacs,"22,000 km",Petrol,659 cc,Automatic,Lahore
4557,Suzuki Alto  2021 L limited 40th anniversary edition for Sale,2021,PKR 37.3 lacs,"6,000 km",Petrol,658 cc,Automatic,Lahore
4558,Suzuki Swift  2024 GLX CVT for Sale,2024,PKR 50 lacs,10 km,Petrol,1200 cc,Automatic,Lahore
4559,Honda City  2022 1.5L ASPIRE CVT for Sale,2022,PKR 49.25 lacs,"48,000 km",Petrol,1500 cc,Automatic,Lahore
4560,Toyota Corolla  2023 Altis Grande X CVT-i 1.8 Black Interior for Sale,2023,PKR 74 lacs,"34,000 km",Petrol,1800 cc,Automatic,Lahore
4561,Suzuki Cultus  2022 VXR for Sale,2022,PKR 34 lacs,"37,000 km",Petrol,1000 cc,Manual,Lahore
4562,Toyota C-HR  2019 G-LED for Sale,2019,PKR 88.9 lacs,"34,500 km",Hybrid,1800 cc,Automatic,Lahore
4563,Suzuki Cultus  2019 Auto Gear Shift for Sale,2019,PKR 29.9 lacs,"82,000 km",Petrol,1000 cc,Automatic,Lahore
4564,Suzuki Khyber  1997 Limited Edition for Sale,1997,PKR 4.9 lacs,"100,000 km",Petrol,1000 cc,Manual,Lahore
4565,Mercedes Benz C Class  2019 C180 for Sale,2019,PKR 2.15 crore,"13,383 km",Petrol,1600 cc,Automatic,Lahore
4566,Audi Q7  2018 45 TFSI Quattro for Sale,2018,PKR 3.25 crore,"55,283 km",Petrol,3000 cc,Automatic,Lahore
4567,Toyota Corolla  2019 GLi Automatic 1.3 VVTi for Sale,2019,PKR 44.9 lacs,"66,800 km",Petrol,1300 cc,Automatic,Lahore
4568,Honda City 5th (GM2) Generation 2014 1.3 i-VTEC for Sale,2014,PKR 28 lacs,"175,000 km",Petrol,1300 cc,Manual,Lahore
4569,Hyundai Santro  2004 Club for Sale,2004,PKR 9.5 lacs,"93,000 km",Petrol,1000 cc,Manual,Lahore
4570,Suzuki Mehran  2015 VXR Euro II for Sale,2015,PKR 12.4 lacs,"70,500 km",Petrol,800 cc,Manual,Lahore
4571,Toyota Corolla  2019 GLi 1.3 VVTi for Sale,2019,PKR 42.6 lacs,"94,000 km",Petrol,1300 cc,Manual,Lahore
4572,KIA Picanto  2022 1.0 MT for Sale,2022,PKR 28 lacs,"25,000 km",Petrol,1000 cc,Manual,Lahore
4573,Honda Fit  2019 1.5 Hybrid S Package for Sale,2019,PKR 48.95 lacs,"41,000 km",Hybrid,1500 cc,Automatic,Lahore
4574,Toyota Roomy  2021 XS for Sale,2021,PKR 41.95 lacs,"39,000 km",Petrol,1000 cc,Automatic,Lahore
4575,Lexus RX Series  2009 450h for Sale,2009,PKR 94.75 lacs,"147,000 km",Petrol,3500 cc,Automatic,Lahore
4576,Honda Vezel  2018 Hybrid Z Honda Sensing  for Sale,2018,PKR 83.75 lacs,"62,000 km",Petrol,1500 cc,Automatic,Lahore
4577,Daihatsu Mira  2021 X SA lll for Sale,2021,PKR 34 lacs,"23,559 km",Petrol,660 cc,Automatic,Lahore
4578,Suzuki Mehran  2004 VX for Sale,2004,PKR 6.25 lacs,"87,500 km",Petrol,800 cc,Manual,Lahore
4579,KIA Picanto  2021 1.0 MT for Sale,2021,PKR 28.5 lacs,"15,000 km",Petrol,1000 cc,Manual,Lahore
4580,Suzuki Mehran  2014 VXR Euro II for Sale,2014,PKR 6.95 lacs,786 km,Petrol,796 cc,Manual,Lahore
4581,Honda Vezel  2020 Hybrid Z for Sale,2020,PKR 78.75 lacs,"48,000 km",Hybrid,1500 cc,Automatic,Lahore
4582,Honda City 5th (GM2) Generation 2019 1.3 i-VTEC Prosmatec for Sale,2019,PKR 37.75 lacs,"67,000 km",Petrol,1300 cc,Automatic,Lahore
4583,Honda Civic  2016 Turbo 1.5 VTEC CVT for Sale,2016,PKR 50 lacs,"115,000 km",Petrol,1500 cc,Automatic,Lahore
4584,Honda City  2005 i-DSI for Sale,2005,PKR 12.5 lacs,"175,000 km",Petrol,1300 cc,Manual,Lahore
4585,Toyota Corolla  2016 GLi Automatic 1.3 VVTi for Sale,2016,PKR 33.5 lacs,"126,000 km",Petrol,1300 cc,Automatic,Lahore
4586,Suzuki Mehran  2012 VX for Sale,2012,PKR 9 lacs,"28,000 km",Petrol,800 cc,Manual,Lahore
4587,Mercedes Benz C Class  2003 C180 for Sale,2003,PKR 39 lacs,"80,900 km",Petrol,2000 cc,Automatic,Lahore
4588,Toyota Land Cruiser  2018 ZX for Sale,2018,PKR 4.32 crore,"67,522 km",Petrol,4600 cc,Automatic,Lahore
4589,Honda Vezel  2019 X Honda Sensing for Sale,2019,PKR 79.75 lacs,"44,000 km",Petrol,1500 cc,Automatic,Lahore
4590,Honda Vezel  2017 Hybrid X for Sale,2017,PKR 57.5 lacs,"75,000 km",Hybrid,1500 cc,Automatic,Lahore
4591,Toyota Corolla  2014 GLi Automatic 1.3 VVTi for Sale,2014,PKR 36.5 lacs,"110,000 km",Petrol,1300 cc,Automatic,Lahore
4592,Honda BR-V  2021 i-VTEC S for Sale,2021,PKR 49 lacs,"35,000 km",Petrol,1500 cc,Automatic,Lahore
4593,Tesla Model 3  2022 Long Range for Sale,2022,PKR 1.99 crore,"11,000 km",Electric,75.0 kWh,Automatic,Lahore
4594,Honda Vezel  2019 Hybrid Z for Sale,2019,PKR 79.95 lacs,"28,940 km",Hybrid,1500 cc,Automatic,Lahore
4595,Toyota Land Cruiser  2009 ZX for Sale,2009,PKR 2.42 crore,"79,000 km",Petrol,4600 cc,Automatic,Lahore
4596,Honda Civic  2020 Oriel 1.8 i-VTEC CVT for Sale,2020,PKR 57.5 lacs,"66,000 km",Petrol,1800 cc,Automatic,Lahore
4597,Toyota Corolla Axio  2017 Hybrid 1.5 for Sale,2017,PKR 59.5 lacs,"124,000 km",Hybrid,1500 cc,Automatic,Lahore
4598,Mitsubishi Ek Wagon  2013 G Safety Plus Edition for Sale,2013,PKR 22.5 lacs,"76,700 km",Petrol,660 cc,Automatic,Lahore
4599,Toyota Belta  2006 X Business B Package 1.0 for Sale,2006,PKR 21.5 lacs,"117,000 km",Petrol,1000 cc,Automatic,Lahore
4600,Suzuki Wagon R  2018 VXL for Sale,2018,PKR 20.5 lacs,"85,000 km",Petrol,1000 cc,Manual,Lahore
4601,Toyota Mark X  2005  for Sale,2005,PKR 50 lacs,"150,000 km",Petrol,2500 cc,Automatic,Lahore
4602,Suzuki Cultus  2021 VXL for Sale,2021,PKR 32.5 lacs,"71,000 km",Petrol,1000 cc,Manual,Lahore
4603,Toyota Vitz  2001 F 1.3 for Sale,2001,PKR 16.5 lacs,"145,000 km",Petrol,1300 cc,Automatic,Lahore
4604,Suzuki Wagon R  2022 AGS for Sale,2022,PKR 32 lacs,"50,000 km",Petrol,1000 cc,Automatic,Lahore
4605,Toyota Aqua  2013 G for Sale,2013,PKR 35.1 lacs,"78,000 km",Hybrid,1500 cc,Automatic,Lahore
4606,Suzuki Mehran  2016 VX Euro II for Sale,2016,PKR 8.7 lacs,"71,000 km",Petrol,796 cc,Manual,Lahore
4607,Toyota Corolla Cross  2024 1.8 HEV X for Sale,2024,PKR 96.5 lacs,"13,000 km",Hybrid,1800 cc,Automatic,Lahore
4608,Mitsubishi Lancer  2005 GL for Sale,2005,PKR 13.4 lacs,"98,000 km",Petrol,1300 cc,Manual,Lahore
4609,Suzuki Swift  2024 GLX CVT for Sale,2024,PKR 48.75 lacs,"6,000 km",Petrol,1200 cc,Automatic,Lahore
4610,BMW i4  2022 eDrive40 for Sale,2022,PKR 3.3 crore,"19,565 km",Electric,80.0 kWh,Automatic,Lahore
4611,Toyota Crown  2023 RS Advance for Sale,2023,PKR 4.4 crore,"1,960 km",Hybrid,2500 cc,Automatic,Lahore
4612,Mercedes Benz EQS  2022 450 4MATIC for Sale,2022,PKR 5.95 crore,271 km,Electric,107.0 kWh,Automatic,Lahore
4613,Changan Karvaan  2021 Base Model 1.0 for Sale,2021,PKR 22.3 lacs,"115,427 km",Petrol,1000 cc,Manual,Lahore
4614,Suzuki Alto  2021 VXR for Sale,2021,PKR 23.9 lacs,"43,000 km",Petrol,660 cc,Manual,Lahore
4615,Suzuki Alto  2007 VXR for Sale,2007,PKR 8 lacs,"267,673 km",Petrol,1000 cc,Manual,Lahore
4616,Suzuki Alto  2019 VXR for Sale,2019,PKR 23 lacs,"150,000 km",Petrol,660 cc,Manual,Lahore
4617,Honda City 5th (GM2) Generation 2015 1.3 i-VTEC for Sale,2015,PKR 29.6 lacs,"115,000 km",Petrol,1300 cc,Manual,Lahore
4618,Suzuki Wagon R  2021 Stingray Hybrid T for Sale,2021,PKR 41.5 lacs,"26,000 km",Hybrid,660 cc,Automatic,Lahore
4619,Toyota Corolla  2015 GLi Automatic 1.3 VVTi for Sale,2015,PKR 35.75 lacs,"91,000 km",Petrol,1300 cc,Automatic,Lahore
4620,Toyota Yaris  2022 ATIV X CVT 1.5 for Sale,2022,PKR 49.75 lacs,"46,000 km",Petrol,1500 cc,Automatic,Lahore
4621,Toyota Corolla  2013 GLi 1.3 VVTi for Sale,2013,PKR 28.5 lacs,"170,000 km",Petrol,1300 cc,Manual,Lahore
4622,Suzuki Mehran  2018 VX Euro II for Sale,2018,PKR 14 lacs,"60,000 km",Petrol,796 cc,Manual,Lahore
4623,Toyota Passo  2015  for Sale,2015,PKR 27.5 lacs,"120,000 km",Petrol,1000 cc,Automatic,Lahore
4624,Honda Vezel  2015 Hybrid Z for Sale,2015,PKR 48 lacs,"168,000 km",Hybrid,1500 cc,Automatic,Lahore
4625,Honda N One  2021 Premium Tourer for Sale,2021,PKR 36.75 lacs,"26,000 km",Petrol,658 cc,Automatic,Lahore
4626,Toyota Prado  2020 TX L Package 2.7 for Sale,2020,PKR 3.14 crore,"19,000 km",Petrol,2700 cc,Automatic,Lahore
4627,Audi e-tron  2022 50 Quattro 230 kW for Sale,2022,Call,"1,200 km",Electric,60.0 kWh,Automatic,Lahore
4628,Suzuki Cultus  2007 VXR for Sale,2007,PKR 8.8 lacs,"37,000 km",Petrol,1000 cc,Manual,Lahore
4629,Toyota C-HR  2019 G for Sale,2019,PKR 1.18 crore,"49,000 km",Hybrid,1800 cc,Automatic,Lahore
4630,Audi e-tron  2022 50 Quattro 230 kW for Sale,2022,PKR 2.35 crore,"31,400 km",Electric,60.0 kWh,Automatic,Lahore
4631,Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale,2018,PKR 54 lacs,"58,000 km",Petrol,1800 cc,Automatic,Lahore
4632,Toyota Fortuner  2017 2.7 VVTi for Sale,2017,PKR 1.14 crore,"59,850 km",Petrol,2700 cc,Automatic,Lahore
4633,Honda Civic  2017 Oriel 1.8 i-VTEC CVT for Sale,2017,PKR 47.25 lacs,"77,000 km",Petrol,1800 cc,Automatic,Lahore
4634,Honda Fit  2015 1.5 Hybrid Smart Selection for Sale,2015,PKR 35.95 lacs,"98,021 km",Hybrid,1500 cc,Automatic,Lahore
4635,Toyota Land Cruiser 6th (J100) Generation 2006 VX Limited 4.2D for Sale,2006,PKR 1.08 crore,"169,000 km",Diesel,4200 cc,Automatic,Lahore
4636,Toyota Raize  2020 XS for Sale,2020,PKR 56.25 lacs,"40,500 km",Petrol,1000 cc,Automatic,Lahore
4637,Honda City 6th Generation 2024 1.2L M/T for Sale,2024,PKR 48 lacs,"1,000 km",Petrol,1200 cc,Manual,Lahore
4638,Toyota Hilux  2021 Revo V Automatic 2.8 for Sale,2021,PKR 1.3 crore,"44,200 km",Diesel,2800 cc,Automatic,Lahore
4639,Suzuki Alto  2006 VXR for Sale,2006,PKR 8.25 lacs,"300,000 km",Petrol,1000 cc,Manual,Lahore
4640,Toyota Passo  2021 X S  for Sale,2021,PKR 43.5 lacs,"6,200 km",Petrol,1000 cc,Automatic,Lahore
4641,Daihatsu Mira  2016 X Special for Sale,2016,PKR 25.35 lacs,"81,000 km",Petrol,660 cc,Automatic,Lahore
4642,Suzuki Mehran  2012 VXR for Sale,2012,PKR 9.3 lacs,"99,999 km",Petrol,800 cc,Manual,Lahore
4643,Toyota Corolla  2020 Altis Automatic 1.6 for Sale,2020,PKR 49.5 lacs,"58,000 km",Petrol,1600 cc,Automatic,Lahore
4644,Suzuki Mehran  2008 VX for Sale,2008,PKR 7.75 lacs,"87,544 km",Petrol,800 cc,Manual,Lahore
4645,Daihatsu Cast  2022 Activa G Turbo  for Sale,2022,PKR 39 lacs,"6,900 km",Petrol,660 cc,Automatic,Lahore
4646,Daihatsu Mira  2012 ES for Sale,2012,PKR 20.5 lacs,"98,000 km",Petrol,660 cc,Automatic,Lahore
4647,Daihatsu Move  2020  for Sale,2020,PKR 32.5 lacs,"15,000 km",Petrol,660 cc,Automatic,Lahore
4648,Suzuki Cultus  2008 VXRi for Sale,2008,PKR 10 lacs,"75,000 km",Petrol,1000 cc,Manual,Lahore
4649,Honda BR-V  2021 i-VTEC S for Sale,2021,PKR 52.5 lacs,"32,000 km",Petrol,1500 cc,Automatic,Lahore
4650,Honda N One  2021 Premium Tourer for Sale,2021,PKR 35.25 lacs,"14,000 km",Petrol,660 cc,Automatic,Lahore
4651,Honda City 5th (GM2) Generation 2018 1.3 i-VTEC for Sale,2018,PKR 35.5 lacs,"90,000 km",Petrol,1300 cc,Manual,Lahore
4652,Suzuki Mehran  2018 VXR Euro II for Sale,2018,PKR 14 lacs,"80,000 km",Petrol,796 cc,Manual,Lahore
4653,Suzuki Mehran  2013 VX Euro II for Sale,2013,PKR 11 lacs,"70,000 km",Petrol,796 cc,Manual,Lahore
4654,Honda Vezel  2019 Hybrid Z for Sale,2019,PKR 79 lacs,"47,000 km",Hybrid,1500 cc,Automatic,Lahore
4655,Daihatsu Mira  2011 Custom X for Sale,2011,PKR 13 lacs,"140,000 km",Petrol,660 cc,Automatic,Lahore
4656,Honda N Wgn  2020 G Turbo  for Sale,2020,PKR 34.5 lacs,"21,000 km",Petrol,660 cc,Automatic,Lahore
4657,Toyota Prado  2019 TX 2.7 for Sale,2019,PKR 2.5 crore,"69,194 km",Petrol,2700 cc,Automatic,Lahore
4658,Toyota Yaris Hatchback  2022  for Sale,2022,PKR 54 lacs,"31,900 km",Petrol,1000 cc,Automatic,Lahore
4659,Honda City 6th Generation 2024 1.2L CVT for Sale,2024,PKR 48 lacs,"7,565 km",Petrol,1200 cc,Automatic,Lahore
4660,Toyota Vitz  2012 F 1.0 for Sale,2012,PKR 24.15 lacs,"132,000 km",Petrol,1000 cc,Automatic,Lahore
4661,Toyota Prius  2020 S for Sale,2020,PKR 82 lacs,"93,586 km",Hybrid,1800 cc,Automatic,Lahore
4662,Mercedes Benz C Class  2010 C63 AMG for Sale,2010,PKR 1.25 crore,"54,000 km",Petrol,6200 cc,Automatic,Lahore
4663,Toyota Prius  2017 A Touring Selection for Sale,2017,PKR 73 lacs,"80,000 km",Hybrid,1800 cc,Automatic,Lahore
4664,Toyota Vitz  2015 F 1.0 for Sale,2015,PKR 34.5 lacs,"66,000 km",Petrol,1000 cc,Automatic,Lahore
4665,Audi A5  2014 1.8 TFSI for Sale,2014,PKR 98 lacs,"44,643 km",Petrol,1800 cc,Automatic,Lahore
4666,Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Beige Interior for Sale,2021,PKR 63 lacs,"46,000 km",Petrol,1800 cc,Automatic,Lahore
4667,Suzuki Wagon R  2019 Hybrid FX for Sale,2019,PKR 36.75 lacs,"9,500 km",Hybrid,660 cc,Automatic,Lahore
4668,Toyota Yaris  2023 GLI CVT 1.3 for Sale,2023,PKR 49 lacs,"20,545 km",Petrol,1300 cc,Automatic,Lahore
4669,Suzuki Liana  2007 LXi Sport for Sale,2007,PKR 13.5 lacs,"171,069 km",Petrol,1300 cc,Manual,Lahore
4670,Toyota Fortuner  2022 2.7 V for Sale,2022,PKR 1.5 crore,"6,400 km",Petrol,2700 cc,Automatic,Lahore
4671,Honda Civic  2017 Oriel 1.8 i-VTEC CVT for Sale,2017,PKR 51.5 lacs,"105,000 km",Petrol,1800 cc,Automatic,Lahore
4672,Toyota Yaris  2021 GLI MT 1.3 for Sale,2021,PKR 37.5 lacs,"64,000 km",Petrol,1300 cc,Manual,Lahore
4673,Honda Vezel  2015 Hybrid Z for Sale,2015,PKR 51 lacs,"122,000 km",Hybrid,1500 cc,Automatic,Lahore
4674,Toyota Sienta  2018 G for Sale,2018,PKR 65 lacs,"65,348 km",Petrol,1500 cc,Automatic,Lahore
4675,Toyota Vitz  2006 F 1.3 for Sale,2006,PKR 22 lacs,"85,000 km",Petrol,1300 cc,Automatic,Lahore
4676,Honda Civic  2005 VTi 1.6 for Sale,2005,PKR 16 lacs,"198,327 km",Petrol,1600 cc,Manual,Lahore
4677,Honda City  2001  for Sale,2001,PKR 11.5 lacs,"312,000 km",Petrol,1300 cc,Automatic,Lahore
4678,KIA Sportage  2020 AWD for Sale,2020,PKR 66.5 lacs,"67,400 km",Petrol,2000 cc,Automatic,Lahore
4679,Suzuki Swift  2012 DX 1.3 for Sale,2012,PKR 17.4 lacs,"119,734 km",Petrol,1300 cc,Manual,Lahore
4680,Suzuki Cultus  2006 VXR for Sale,2006,PKR 9.95 lacs,"37,000 km",Petrol,1000 cc,Manual,Lahore
4681,Suzuki Cultus  2016 Limited Edition for Sale,2016,PKR 15.5 lacs,"95,000 km",Petrol,1000 cc,Manual,Lahore
4682,Daihatsu Move  2012 Custom X SA for Sale,2012,PKR 20.5 lacs,"160,000 km",Petrol,660 cc,Automatic,Lahore
4683,Toyota Fortuner  2019 2.7 VVTi for Sale,2019,PKR 1.2 crore,"48,000 km",Petrol,2700 cc,Automatic,Lahore
4684,Toyota Land Cruiser  2015 AX for Sale,2015,PKR 3.05 crore,"91,000 km",Petrol,4600 cc,Automatic,Lahore
4685,Toyota Hilux  2022 Revo Rocco for Sale,2022,PKR 1.37 crore,"35,000 km",Diesel,2800 cc,Automatic,Lahore
4686,Toyota Fortuner  2022 Legender  for Sale,2022,PKR 1.74 crore,"16,000 km",Diesel,2800 cc,Automatic,Lahore
4687,Honda N Wgn  2020 G Turbo  for Sale,2020,PKR 39 lacs,"21,276 km",Petrol,660 cc,Automatic,Lahore
4688,Honda Insight  2021 EX for Sale,2021,PKR 1.29 crore,"50,000 km",Hybrid,1500 cc,Automatic,Lahore
4689,Audi e-tron  2020 50 Quattro 230 kW for Sale,2020,Call,"48,000 km",Electric,60.0 kWh,Automatic,Lahore
4690,Honda Civic  2017 Oriel 1.8 i-VTEC CVT for Sale,2017,PKR 49.5 lacs,"82,000 km",Petrol,1800 cc,Automatic,Lahore
4691,Honda Civic  2016 Oriel 1.8 i-VTEC CVT for Sale,2016,PKR 47.3 lacs,"95,000 km",Petrol,1800 cc,Automatic,Lahore
4692,Proton Saga  2022 1.3L Ace A/T for Sale,2022,PKR 30.25 lacs,"24,468 km",Petrol,1299 cc,Automatic,Lahore
4693,Suzuki Mehran  2005  for Sale,2005,PKR 6.45 lacs,"24,000 km",Petrol,800 cc,Manual,Lahore
4694,Honda Vezel  2021 e-HEV Play for Sale,2021,PKR 1.15 crore,"34,990 km",Hybrid,1500 cc,Automatic,Lahore
4695,Suzuki Cultus  2011 VXRi for Sale,2011,PKR 13.7 lacs,"50,000 km",Petrol,1000 cc,Manual,Lahore
4696,Porsche Cayenne  2013 S E-Hybrid Platinum Edition for Sale,2013,Call,"53,295 km",Hybrid,3000 cc,Automatic,Lahore
4697,Honda City  2002 EXi for Sale,2002,PKR 9.6 lacs,"200,000 km",Petrol,1300 cc,Manual,Lahore
4698,Toyota Corolla  2016 GLi 1.3 VVTi for Sale,2016,PKR 32.5 lacs,11 km,Petrol,1300 cc,Manual,Lahore
4699,Suzuki Mehran  2017 VXR Euro II for Sale,2017,PKR 12 lacs,"87,979 km",Petrol,796 cc,Manual,Lahore
4700,Toyota Yaris  2020 GLI CVT 1.3 for Sale,2020,PKR 37.5 lacs,"115,000 km",Petrol,1300 cc,Automatic,Lahore
4701,Suzuki Wagon R  2019 VXL for Sale,2019,PKR 24 lacs,"77,956 km",Petrol,1000 cc,Manual,Lahore
4702,Honda Vezel  2015 Hybrid X for Sale,2015,PKR 48.5 lacs,"163,000 km",Hybrid,1500 cc,Automatic,Lahore
4703,Honda City 6th Generation 2022 1.5L ASPIRE M/T for Sale,2022,PKR 45.5 lacs,"37,750 km",Petrol,1500 cc,Manual,Lahore
4704,Toyota C-HR  2019 G-LED for Sale,2019,PKR 95 lacs,"87,244 km",Hybrid,1800 cc,Automatic,Lahore
4705,Audi e-tron GT  2022 Standard for Sale,2022,PKR 3.8 crore,"10,000 km",Electric,93.0 kWh,Automatic,Lahore
4706,Toyota Corolla  2017 GLi 1.3 VVTi for Sale,2017,PKR 38.75 lacs,"100,000 km",Petrol,1300 cc,Manual,Lahore
4707,Honda City 6th Generation 2022 1.2L CVT for Sale,2022,PKR 44.25 lacs,"20,000 km",Petrol,1200 cc,Automatic,Lahore
4708,Honda Civic Eagle Eye 2005 VTi 1.6 for Sale,2005,PKR 15.5 lacs,"206,996 km",Petrol,1600 cc,Manual,Lahore
4709,Toyota Prado  2017 TX 2.7 for Sale,2017,PKR 2.55 crore,"46,000 km",Petrol,2700 cc,Automatic,Lahore
4710,Toyota Land Cruiser  2016 ZX for Sale,2016,PKR 4.15 crore,"37,000 km",Petrol,4600 cc,Automatic,Lahore
4711,Honda Civic  2017 Oriel 1.8 i-VTEC CVT for Sale,2017,PKR 46.5 lacs,"135,000 km",Petrol,1800 cc,Automatic,Lahore
4712,Toyota Corolla  2021 Altis X Automatic 1.6 for Sale,2021,PKR 61.6 lacs,"9,682 km",Petrol,1598 cc,Automatic,Lahore
4713,Haval Jolion  2021 Top for Sale,2021,PKR 74 lacs,"86,000 km",Petrol,1500 cc,Automatic,Lahore
4714,Mitsubishi Rvr  2013 G for Sale,2013,PKR 39 lacs,"110,000 km",Petrol,1800 cc,Automatic,Lahore
4715,Daihatsu Sonica  2007  for Sale,2007,PKR 17 lacs,"117,952 km",Petrol,660 cc,Automatic,Lahore
4716,Honda Freed  2015 + Hybrid G Honda Sensing for Sale,2015,PKR 34.99 lacs,"70,000 km",Hybrid,1500 cc,Automatic,Lahore
4717,Hyundai Tucson  2021 AWD A/T Ultimate for Sale,2021,PKR 77 lacs,"55,000 km",Petrol,2000 cc,Automatic,Lahore
4718,Toyota Yaris  2020 ATIV MT 1.3 for Sale,2020,PKR 40 lacs,"119,000 km",Petrol,1300 cc,Manual,Lahore
